id;name;topic;course_name;description;created
1;although;indeed;um;in commercial;2024-08-23
2;for;that daily gah;breakable hierarchy;step-mother bog likewise;2024-08-23
3;seriously overconfidently;gee feminize thigh;satisfy;negligible;2024-08-23
4;gadzooks;wriggler vice finally;if;gah fooey;2024-08-23
5;nippy certification underneath;absentmindedly energetically other;um upright;forearm;2024-08-23
6;reapply;monthly odd accelerator;reasonable within;wide potentially gah;2024-08-23
7;who what;acquaintance oof;despite;fun blah chow;2024-08-23
8;instead huzzah;aha amidst;zowie attraction while;remark communicate showboat;2024-08-23
9;gosh;but rebuke zowie;slime;think up;2024-08-23
10;provision;however ack;aw;for young aside;2024-08-23
