id;tag_name;tag_description;created_date;lab_name;lab_topic
1;kaleidoscopic chorus;than nonstop down;2024-08-23;badger;glass over
2;furthermore extraneous;justly thinking degrade;2024-08-23;labor scholarly;distortion woot fixed
3;jettison whenever;super;2024-08-23;crossly boo ack;of crooked
4;zealous;who;2024-08-23;insecure;solid speedily regular
5;skeletal woot;finally during never;2024-08-23;whose;millennium pepperoni
6;near;hence;2024-08-24;after loud;forenenst brr universe
7;comment;high-level amidst;2024-08-23;indeed after;forenenst euthanize
8;longingly while meanwhile;vacuum superficial lest;2024-08-23;duh adept;yippee
9;yuck cautiously;supposing;2024-08-23;beneath gah;unnaturally after
10;punctually defiantly yippee;unlike royal;2024-08-24;mission bust;pelt meanwhile
