id;tag_name;tag_description;created_date;lab_name;lab_topic
1;kaleidoscopic chorus;than nonstop down;2024-08-20;badger;glass over
2;furthermore extraneous;justly thinking degrade;2024-08-20;labor scholarly;distortion woot fixed
3;jettison whenever;super;2024-08-20;crossly boo ack;of crooked
4;zealous;who;2024-08-19;insecure;solid speedily regular
5;skeletal woot;finally during never;2024-08-19;whose;millennium pepperoni
6;near;hence;2024-08-20;after loud;forenenst brr universe
7;comment;high-level amidst;2024-08-20;indeed after;forenenst euthanize
8;longingly while meanwhile;vacuum superficial lest;2024-08-19;duh adept;yippee
9;yuck cautiously;supposing;2024-08-20;beneath gah;unnaturally after
10;punctually defiantly yippee;unlike royal;2024-08-20;mission bust;pelt meanwhile
